Time,Voltage P,Voltage V,Voltage T,P,V,log P,logV,T,logT,Time,Voltage P,Voltage V,Voltage T,P,V,log P,logV,T,logT
0,0,0,956,3,394,1,177,95,604,1,0.0096000,1,980,-3,707,307,458,2,488
0,2,0,956,3,394,1,177,95,604,1,0.0096000,1,980,-3,707,307,458,2,488
0,4,0,956,3,393,1,177,95,604,1,0.0096000,1,980,-3,707,307,458,2,488
0,6,0,956,3,393,1,178,95,604,1,0.0096000,1,980,-3,707,307,509,2,488
0,8,0,956,3,393,1,177,95,604,1,0.0096000,1,980,-3,707,307,458,2,488
0,10,0,956,3,392,1,178,95,604,1,0.0096000,1,980,-3,707,307,509,2,488
0,12,0,957,3,387,1,178,95,726,1,0.0096000,1,981,-3,707,307,509,2,488
0,14,0,961,3,370,1,182,96,93,1,0.0096000,1,983,-3,708,307,659,2,488
0,16,0,968,3,342,1,189,96,825,1,0.0095000,1,986,-3,710,307,960,2,488
0,18,0,974,3,313,1,201,97,436,1,0.0094000,1,989,-3,713,308,462,2,489
0,20,0,979,3,291,1,211,97,924,1,0.0093000,1,991,-3,714,308,864,2,490
0,22,0,980,3,286,1,219,98,46,1,0.0093000,1,991,-3,715,309,165,2,490
0,24,0,980,3,286,1,221,98,46,1,0.0093000,1,991,-3,715,309,265,2,490
0,26,0,980,3,286,1,223,98,46,1,0.0093000,1,991,-3,715,309,366,2,490
0,28,0,979,3,284,1,223,97,924,1,0.0093000,1,991,-3,715,309,366,2,490
0,30,0,979,3,284,1,223,97,924,1,0.0093000,1,991,-3,715,309,366,2,490
0,32,0,979,3,284,1,223,97,924,1,0.0093000,1,991,-3,715,309,366,2,490
0,34,0,979,3,284,1,223,97,924,1,0.0093000,1,991,-3,715,309,366,2,490
0,36,0,980,3,281,1,223,98,46,1,0.0093000,1,991,-3,715,309,366,2,490
0,38,0,984,3,263,1,226,98,413,1,0.0092000,1,993,-3,716,309,466,2,491
0,40,0,990,3,237,1,234,99,23,1,0.0091000,1,996,-3,718,309,818,2,491
0,42,0,995,3,217,1,242,99,512,1,0.0091000,1,998,-3,720,310,119,2,492
0,44,0,996,3,212,1,248,99,634,1,0.0091000,1,998,-3,720,310,370,2,492
0,46,0,996,3,212,1,250,99,634,1,0.0091000,1,998,-3,720,310,470,2,492
0,48,0,995,3,212,1,252,99,512,1,0.0091000,1,998,-3,720,310,520,2,492
0,50,0,996,3,212,1,252,99,634,1,0.0091000,1,998,-3,720,310,520,2,492
0,52,0,994,3,212,1,252,99,389,1,0.0091000,1,997,-3,720,310,520,2,492
0,54,0,995,3,211,1,250,99,512,1,0.0091000,1,998,-3,720,310,470,2,492
0,56,0,995,3,211,1,250,99,512,1,0.0091000,1,998,-3,720,310,470,2,492
0,58,0,994,3,211,1,250,99,389,1,0.0091000,1,997,-3,720,310,470,2,492
0,60,0,995,3,211,1,249,99,512,1,0.0091000,1,998,-3,720,310,420,2,492
0,62,0,994,3,211,1,248,99,389,1,0.0091000,1,997,-3,720,310,370,2,492
0,64,0,994,3,211,1,248,99,389,1,0.0091000,1,997,-3,720,310,370,2,492
0,66,0,994,3,212,1,248,99,389,1,0.0091000,1,997,-3,720,310,370,2,492
0,68,0,995,3,212,1,248,99,512,1,0.0091000,1,998,-3,720,310,370,2,492
0,70,0,994,3,212,1,247,99,389,1,0.0091000,1,997,-3,720,310,319,2,492
0,72,0,994,3,212,1,245,99,389,1,0.0091000,1,997,-3,720,310,269,2,492
0,74,0,994,3,212,1,245,99,389,1,0.0091000,1,997,-3,720,310,269,2,492
0,76,0,994,3,212,1,245,99,389,1,0.0091000,1,997,-3,720,310,269,2,492
0,78,0,994,3,212,1,245,99,389,1,0.0091000,1,997,-3,720,310,269,2,492
0,80,0,994,3,211,1,244,99,389,1,0.0091000,1,997,-3,720,310,219,2,492
