Time,Voltage P,Voltage V,Voltage T,P,V,log P,logV,T,logT,Time,Voltage P,Voltage V,Voltage T,P,V,log P,logV,T,logT
0,0,0,989,1,526,1,216,98,901,1,0.00360,1,995,-3,867,309,65,2,490
0,2,0,988,1,526,1,215,98,779,1,0.00360,1,995,-3,867,309,14,2,490
0,4,0,989,1,526,1,215,98,901,1,0.00360,1,995,-3,867,309,14,2,490
0,6,0,988,1,526,1,215,98,779,1,0.00360,1,995,-3,867,309,14,2,490
0,8,0,988,1,526,1,215,98,779,1,0.00360,1,995,-3,867,309,14,2,490
0,10,0,989,1,526,1,215,98,901,1,0.00360,1,995,-3,867,309,14,2,490
0,12,0,989,1,526,1,214,98,901,1,0.00360,1,995,-3,867,308,964,2,490
0,14,0,988,1,527,1,215,98,779,1,0.00360,1,995,-3,866,309,14,2,490
0,16,0,988,1,527,1,214,98,779,1,0.00360,1,995,-3,866,308,964,2,490
0,18,0,989,1,529,1,214,98,901,1,0.00360,1,995,-3,866,308,964,2,490
0,20,0,988,1,529,1,215,98,779,1,0.00360,1,995,-3,866,309,14,2,490
0,22,0,988,1,529,1,214,98,779,1,0.00360,1,995,-3,866,308,964,2,490
0,24,0,988,1,529,1,214,98,779,1,0.00360,1,995,-3,866,308,964,2,490
0,26,0,988,1,529,1,214,98,779,1,0.00360,1,995,-3,866,308,964,2,490
0,28,0,988,1,529,1,214,98,779,1,0.00360,1,995,-3,866,308,964,2,490
0,30,0,987,1,529,1,214,98,657,1,0.00360,1,994,-3,866,308,964,2,490
0,32,0,987,1,530,1,214,98,657,1,0.00360,1,994,-3,866,308,964,2,490
0,34,0,988,1,529,1,214,98,779,1,0.00360,1,995,-3,866,308,964,2,490
0,36,0,987,1,530,1,212,98,657,1,0.00360,1,994,-3,866,308,914,2,490
0,38,0,987,1,532,1,212,98,657,1,0.00360,1,994,-3,866,308,914,2,490
0,40,0,987,1,532,1,212,98,657,1,0.00360,1,994,-3,866,308,914,2,490
0,42,0,987,1,532,1,211,98,657,1,0.00360,1,994,-3,866,308,864,2,490
0,44,0,987,1,534,1,211,98,657,1,0.00360,1,994,-3,866,308,864,2,490
0,46,0,980,1,554,1,208,98,46,1,0.00370,1,991,-3,864,308,713,2,490
0,48,0,967,1,593,1,194,96,703,1,0.00380,1,985,-3,860,308,161,2,489
0,50,0,955,1,636,1,173,95,482,1,0.00400,1,980,-3,855,307,308,2,488
0,52,0,945,1,664,1,153,94,505,1,0.00400,1,975,-3,853,306,454,2,486
0,54,0,943,1,673,1,140,94,261,1,0.00410,1,974,-3,852,305,952,2,486
0,56,0,943,1,673,1,134,94,261,1,0.00410,1,974,-3,852,305,701,2,485
0,58,0,944,1,672,1,132,94,383,1,0.00410,1,975,-3,852,305,601,2,485
0,60,0,944,1,673,1,131,94,383,1,0.00410,1,975,-3,852,305,551,2,485
0,62,0,944,1,673,1,131,94,383,1,0.00410,1,975,-3,852,305,551,2,485
0,64,0,945,1,672,1,132,94,505,1,0.00410,1,975,-3,852,305,601,2,485
0,66,0,944,1,673,1,132,94,383,1,0.00410,1,975,-3,852,305,601,2,485
0,68,0,945,1,673,1,133,94,505,1,0.00410,1,975,-3,852,305,651,2,485
0,70,0,945,1,672,1,134,94,505,1,0.00410,1,975,-3,852,305,701,2,485
0,72,0,945,1,673,1,136,94,505,1,0.00410,1,975,-3,852,305,752,2,485
0,74,0,946,1,673,1,136,94,628,1,0.00410,1,976,-3,852,305,752,2,485
0,76,0,945,1,673,1,137,94,505,1,0.00410,1,975,-3,852,305,802,2,485
0,78,0,945,1,673,1,138,94,505,1,0.00410,1,975,-3,852,305,852,2,486
0,80,0,946,1,672,1,138,94,628,1,0.00410,1,976,-3,852,305,852,2,486
0,82,0,946,1,672,1,138,94,628,1,0.00410,1,976,-3,852,305,852,2,486
0,84,0,946,1,673,1,139,94,628,1,0.00410,1,976,-3,852,305,902,2,486
0,86,0,947,1,672,1,139,94,750,1,0.00410,1,977,-3,852,305,902,2,486
0,88,0,946,1,672,1,140,94,628,1,0.00410,1,976,-3,852,305,952,2,486
0,90,0,946,1,673,1,140,94,628,1,0.00410,1,976,-3,852,305,952,2,486
0,92,0,947,1,673,1,143,94,750,1,0.00410,1,977,-3,852,306,53,2,486
0,94,0,946,1,673,1,143,94,628,1,0.00410,1,976,-3,852,306,53,2,486
0,96,0,947,1,673,1,143,94,750,1,0.00410,1,977,-3,852,306,53,2,486
0,98,0,947,1,673,1,144,94,750,1,0.00410,1,977,-3,852,306,103,2,486
1,0,0,947,1,673,1,144,94,750,1,0.00410,1,977,-3,852,306,103,2,486
1,2,0,947,1,673,1,145,94,750,1,0.00410,1,977,-3,852,306,153,2,486
1,4,0,947,1,673,1,145,94,750,1,0.00410,1,977,-3,852,306,153,2,486
1,6,0,947,1,673,1,147,94,750,1,0.00410,1,977,-3,852,306,203,2,486
1,8,0,947,1,673,1,147,94,750,1,0.00410,1,977,-3,852,306,203,2,486
1,10,0,947,1,672,1,148,94,750,1,0.00410,1,977,-3,852,306,254,2,486
1,12,0,947,1,673,1,148,94,750,1,0.00410,1,977,-3,852,306,254,2,486
1,14,0,947,1,673,1,148,94,750,1,0.00410,1,977,-3,852,306,254,2,486
1,16,0,947,1,673,1,149,94,750,1,0.00410,1,977,-3,852,306,304,2,486
1,18,0,949,1,673,1,150,94,872,1,0.00410,1,977,-3,852,306,354,2,486
1,20,0,949,1,673,1,150,94,872,1,0.00410,1,977,-3,852,306,354,2,486
1,22,0,949,1,673,1,151,94,872,1,0.00410,1,977,-3,852,306,404,2,486
1,24,0,949,1,673,1,151,94,872,1,0.00410,1,977,-3,852,306,404,2,486
1,26,0,949,1,673,1,151,94,872,1,0.00410,1,977,-3,852,306,404,2,486
1,28,0,949,1,673,1,153,94,872,1,0.00410,1,977,-3,852,306,454,2,486
1,30,0,949,1,673,1,154,94,872,1,0.00410,1,977,-3,852,306,505,2,486
1,32,0,949,1,672,1,154,94,872,1,0.00410,1,977,-3,852,306,505,2,486
1,34,0,949,1,672,1,154,94,872,1,0.00410,1,977,-3,852,306,505,2,486
1,36,0,949,1,673,1,155,94,872,1,0.00410,1,977,-3,852,306,555,2,487
1,38,0,949,1,673,1,155,94,872,1,0.00410,1,977,-3,852,306,555,2,487
1,40,0,949,1,673,1,155,94,872,1,0.00410,1,977,-3,852,306,555,2,487
1,42,0,949,1,673,1,155,94,872,1,0.00410,1,977,-3,852,306,555,2,487
1,44,0,949,1,673,1,156,94,872,1,0.00410,1,977,-3,852,306,605,2,487
1,46,0,949,1,674,1,158,94,872,1,0.00410,1,977,-3,852,306,655,2,487
1,48,0,947,1,681,1,155,94,750,1,0.00410,1,977,-3,851,306,555,2,487
1,50,0,943,1,695,1,153,94,261,1,0.00410,1,974,-3,850,306,454,2,486
1,52,0,939,1,707,1,145,93,895,1,0.00420,1,973,-3,848,306,153,2,486
1,54,0,937,1,713,1,140,93,651,1,0.00420,1,972,-3,848,305,952,2,486
1,56,0,937,1,714,1,139,93,651,1,0.00420,1,972,-3,848,305,902,2,486
1,58,0,938,1,714,1,138,93,773,1,0.00420,1,972,-3,848,305,852,2,486
1,60,0,938,1,713,1,137,93,773,1,0.00420,1,972,-3,848,305,802,2,485
1,62,0,938,1,713,1,138,93,773,1,0.00420,1,972,-3,848,305,852,2,486
1,64,0,938,1,713,1,138,93,773,1,0.00420,1,972,-3,848,305,852,2,486
1,66,0,938,1,713,1,139,93,773,1,0.00420,1,972,-3,848,305,902,2,486
1,68,0,938,1,714,1,140,93,773,1,0.00420,1,972,-3,848,305,952,2,486
1,70,0,939,1,713,1,140,93,895,1,0.00420,1,973,-3,848,305,952,2,486
1,72,0,939,1,713,1,142,93,895,1,0.00420,1,973,-3,848,306,3,2,486
1,74,0,939,1,714,1,143,93,895,1,0.00420,1,973,-3,848,306,53,2,486
1,76,0,939,1,713,1,143,93,895,1,0.00420,1,973,-3,848,306,53,2,486
1,78,0,939,1,713,1,144,93,895,1,0.00420,1,973,-3,848,306,103,2,486
1,80,0,939,1,713,1,145,93,895,1,0.00420,1,973,-3,848,306,153,2,486
1,82,0,939,1,713,1,145,93,895,1,0.00420,1,973,-3,848,306,153,2,486
1,84,0,938,1,712,1,147,93,773,1,0.00420,1,972,-3,848,306,203,2,486
1,86,0,939,1,713,1,148,93,895,1,0.00420,1,973,-3,848,306,254,2,486
1,88,0,939,1,712,1,147,93,895,1,0.00420,1,973,-3,848,306,203,2,486
1,90,0,939,1,713,1,148,93,895,1,0.00420,1,973,-3,848,306,254,2,486
1,92,0,940,1,713,1,149,94,17,1,0.00420,1,973,-3,848,306,304,2,486
1,94,0,939,1,712,1,149,93,895,1,0.00420,1,973,-3,848,306,304,2,486
1,96,0,939,1,713,1,150,93,895,1,0.00420,1,973,-3,848,306,354,2,486
1,98,0,940,1,713,1,151,94,17,1,0.00420,1,973,-3,848,306,404,2,486
2,0,0,939,1,712,1,151,93,895,1,0.00420,1,973,-3,848,306,404,2,486
2,2,0,940,1,713,1,153,94,17,1,0.00420,1,973,-3,848,306,454,2,486
2,4,0,940,1,712,1,153,94,17,1,0.00420,1,973,-3,848,306,454,2,486
2,6,0,940,1,713,1,154,94,17,1,0.00420,1,973,-3,848,306,505,2,486
2,8,0,940,1,713,1,154,94,17,1,0.00420,1,973,-3,848,306,505,2,486
2,10,0,940,1,712,1,154,94,17,1,0.00420,1,973,-3,848,306,505,2,486
2,12,0,939,1,712,1,155,93,895,1,0.00420,1,973,-3,848,306,555,2,487
2,14,0,940,1,712,1,155,94,17,1,0.00420,1,973,-3,848,306,555,2,487
2,16,0,940,1,712,1,156,94,17,1,0.00420,1,973,-3,848,306,605,2,487
2,18,0,940,1,713,1,158,94,17,1,0.00420,1,973,-3,848,306,655,2,487
2,20,0,940,1,713,1,156,94,17,1,0.00420,1,973,-3,848,306,605,2,487
2,22,0,940,1,713,1,158,94,17,1,0.00420,1,973,-3,848,306,655,2,487
2,24,0,940,1,714,1,158,94,17,1,0.00420,1,973,-3,848,306,655,2,487
2,26,0,940,1,717,1,158,94,17,1,0.00420,1,973,-3,847,306,655,2,487
2,28,0,933,1,737,1,154,93,284,1,0.00430,1,970,-3,845,306,505,2,486
2,30,0,924,1,768,1,143,92,430,1,0.00440,1,966,-3,842,306,53,2,486
2,32,0,917,1,792,1,129,91,697,1,0.00450,1,962,-3,840,305,501,2,485
2,34,0,915,1,802,1,121,91,453,1,0.00450,1,961,-3,839,305,149,2,485
2,36,0,915,1,802,1,116,91,453,1,0.00450,1,961,-3,839,304,949,2,484
2,38,0,915,1,801,1,114,91,453,1,0.00450,1,961,-3,839,304,848,2,484
2,40,0,915,1,801,1,115,91,453,1,0.00450,1,961,-3,839,304,898,2,484
2,42,0,916,1,801,1,114,91,575,1,0.00450,1,962,-3,839,304,848,2,484
2,44,0,916,1,801,1,115,91,575,1,0.00450,1,962,-3,839,304,898,2,484
2,46,0,916,1,801,1,116,91,575,1,0.00450,1,962,-3,839,304,949,2,484
2,48,0,917,1,801,1,117,91,697,1,0.00450,1,962,-3,839,304,999,2,484
2,50,0,917,1,801,1,118,91,697,1,0.00450,1,962,-3,839,305,49,2,484
2,52,0,917,1,801,1,120,91,697,1,0.00450,1,962,-3,839,305,99,2,484
2,54,0,917,1,801,1,120,91,697,1,0.00450,1,962,-3,839,305,99,2,484
2,56,0,917,1,801,1,122,91,697,1,0.00450,1,962,-3,839,305,200,2,485
2,58,0,917,1,801,1,122,91,697,1,0.00450,1,962,-3,839,305,200,2,485
2,60,0,917,1,801,1,123,91,697,1,0.00450,1,962,-3,839,305,250,2,485
2,62,0,917,1,801,1,123,91,697,1,0.00450,1,962,-3,839,305,250,2,485
2,64,0,918,1,801,1,125,91,819,1,0.00450,1,963,-3,839,305,300,2,485
2,66,0,917,1,801,1,126,91,697,1,0.00450,1,962,-3,839,305,350,2,485
2,68,0,918,1,801,1,126,91,819,1,0.00450,1,963,-3,839,305,350,2,485
2,70,0,918,1,801,1,127,91,819,1,0.00450,1,963,-3,839,305,400,2,485
2,72,0,918,1,801,1,128,91,819,1,0.00450,1,963,-3,839,305,451,2,485
2,74,0,918,1,801,1,129,91,819,1,0.00450,1,963,-3,839,305,501,2,485
2,76,0,918,1,801,1,129,91,819,1,0.00450,1,963,-3,839,305,501,2,485
2,78,0,918,1,801,1,131,91,819,1,0.00450,1,963,-3,839,305,551,2,485
2,80,0,918,1,801,1,132,91,819,1,0.00450,1,963,-3,839,305,601,2,485
2,82,0,918,1,801,1,132,91,819,1,0.00450,1,963,-3,839,305,601,2,485
2,84,0,918,1,802,1,133,91,819,1,0.00450,1,963,-3,839,305,651,2,485
2,86,0,919,1,802,1,133,91,941,1,0.00450,1,964,-3,839,305,651,2,485
2,88,0,918,1,801,1,134,91,819,1,0.00450,1,963,-3,839,305,701,2,485
2,90,0,918,1,801,1,134,91,819,1,0.00450,1,963,-3,839,305,701,2,485
2,92,0,919,1,801,1,136,91,941,1,0.00450,1,964,-3,839,305,752,2,485
2,94,0,918,1,802,1,136,91,819,1,0.00450,1,963,-3,839,305,752,2,485
2,96,0,919,1,801,1,137,91,941,1,0.00450,1,964,-3,839,305,802,2,485
2,98,0,919,1,802,1,138,91,941,1,0.00450,1,964,-3,839,305,852,2,486
3,0,0,918,1,801,1,139,91,819,1,0.00450,1,963,-3,839,305,902,2,486
3,2,0,921,1,801,1,139,92,63,1,0.00450,1,964,-3,839,305,902,2,486
3,4,0,919,1,801,1,139,91,941,1,0.00450,1,964,-3,839,305,902,2,486
3,6,0,919,1,802,1,142,91,941,1,0.00450,1,964,-3,839,306,3,2,486
3,8,0,919,1,801,1,142,91,941,1,0.00450,1,964,-3,839,306,3,2,486
3,10,0,919,1,801,1,142,91,941,1,0.00450,1,964,-3,839,306,3,2,486
3,12,0,919,1,802,1,143,91,941,1,0.00450,1,964,-3,839,306,53,2,486
3,14,0,921,1,801,1,143,92,63,1,0.00450,1,964,-3,839,306,53,2,486
3,16,0,919,1,801,1,144,91,941,1,0.00450,1,964,-3,839,306,103,2,486
3,18,0,919,1,801,1,144,91,941,1,0.00450,1,964,-3,839,306,103,2,486
3,20,0,921,1,801,1,145,92,63,1,0.00450,1,964,-3,839,306,153,2,486
3,22,0,919,1,801,1,145,91,941,1,0.00450,1,964,-3,839,306,153,2,486
3,24,0,921,1,801,1,147,92,63,1,0.00450,1,964,-3,839,306,203,2,486
3,26,0,919,1,801,1,148,91,941,1,0.00450,1,964,-3,839,306,254,2,486
3,28,0,921,1,802,1,149,92,63,1,0.00450,1,964,-3,839,306,304,2,486
3,30,0,921,1,801,1,149,92,63,1,0.00450,1,964,-3,839,306,304,2,486
3,32,0,921,1,801,1,150,92,63,1,0.00450,1,964,-3,839,306,354,2,486
3,34,0,921,1,802,1,150,92,63,1,0.00450,1,964,-3,839,306,354,2,486
3,36,0,922,1,801,1,151,92,186,1,0.00450,1,965,-3,839,306,404,2,486
3,38,0,921,1,801,1,151,92,63,1,0.00450,1,964,-3,839,306,404,2,486
3,40,0,921,1,801,1,151,92,63,1,0.00450,1,964,-3,839,306,404,2,486
3,42,0,921,1,801,1,151,92,63,1,0.00450,1,964,-3,839,306,404,2,486
3,44,0,919,1,801,1,153,91,941,1,0.00450,1,964,-3,839,306,454,2,486
3,46,0,921,1,802,1,154,92,63,1,0.00450,1,964,-3,839,306,505,2,486
3,48,0,921,1,802,1,154,92,63,1,0.00450,1,964,-3,839,306,505,2,486
3,50,0,921,1,802,1,155,92,63,1,0.00450,1,964,-3,839,306,555,2,487
3,52,0,921,1,802,1,155,92,63,1,0.00450,1,964,-3,839,306,555,2,487
3,54,0,921,1,802,1,155,92,63,1,0.00450,1,964,-3,839,306,555,2,487
3,56,0,919,1,805,1,156,91,941,1,0.00450,1,964,-3,839,306,605,2,487
3,58,0,915,1,827,1,153,91,453,1,0.00460,1,961,-3,837,306,454,2,486
3,60,0,905,1,860,1,140,90,476,1,0.00470,1,957,-3,833,305,952,2,486
3,62,0,897,1,886,1,127,89,744,1,0.00480,1,953,-3,831,305,400,2,485
3,64,0,896,1,893,1,117,89,621,1,0.00480,1,952,-3,830,304,999,2,484
3,66,0,896,1,891,1,114,89,621,1,0.00480,1,952,-3,830,304,848,2,484
3,68,0,896,1,891,1,114,89,621,1,0.00480,1,952,-3,830,304,848,2,484
3,70,0,896,1,891,1,112,89,621,1,0.00480,1,952,-3,830,304,798,2,484
3,72,0,897,1,890,1,114,89,744,1,0.00480,1,953,-3,831,304,848,2,484
3,74,0,897,1,891,1,115,89,744,1,0.00480,1,953,-3,830,304,898,2,484
3,76,0,899,1,891,1,115,89,866,1,0.00480,1,954,-3,830,304,898,2,484
3,78,0,897,1,891,1,116,89,744,1,0.00480,1,953,-3,830,304,949,2,484
3,80,0,897,1,891,1,117,89,744,1,0.00480,1,953,-3,830,304,999,2,484
3,82,0,899,1,891,1,118,89,866,1,0.00480,1,954,-3,830,305,49,2,484
3,84,0,899,1,890,1,118,89,866,1,0.00480,1,954,-3,831,305,49,2,484
3,86,0,899,1,891,1,120,89,866,1,0.00480,1,954,-3,830,305,99,2,484
3,88,0,900,1,891,1,121,89,988,1,0.00480,1,954,-3,830,305,149,2,485
3,90,0,899,1,891,1,122,89,866,1,0.00480,1,954,-3,830,305,200,2,485
3,92,0,899,1,890,1,123,89,866,1,0.00480,1,954,-3,831,305,250,2,485
3,94,0,900,1,890,1,123,89,988,1,0.00480,1,954,-3,831,305,250,2,485
3,96,0,900,1,890,1,125,89,988,1,0.00480,1,954,-3,831,305,300,2,485
3,98,0,899,1,891,1,126,89,866,1,0.00480,1,954,-3,830,305,350,2,485
4,0,0,900,1,890,1,127,89,988,1,0.00480,1,954,-3,831,305,400,2,485
4,2,0,900,1,890,1,127,89,988,1,0.00480,1,954,-3,831,305,400,2,485
4,4,0,900,1,891,1,129,89,988,1,0.00480,1,954,-3,830,305,501,2,485
4,6,0,900,1,890,1,129,89,988,1,0.00480,1,954,-3,831,305,501,2,485
4,8,0,900,1,891,1,131,89,988,1,0.00480,1,954,-3,830,305,551,2,485
4,10,0,900,1,891,1,132,89,988,1,0.00480,1,954,-3,830,305,601,2,485
