Time,Voltage P,Voltage V,Voltage T,P,V,log Calc P,logV,T,logT,P_copy,V_copy,logP_copy,logV_copy,Time,Voltage P,Voltage V,Voltage T,P,V,log Calc P,logV,T,logT,P_copy,V_copy,logP_copy,logV_copy
0,0,0,967,3,400,1,201,96,703,1,0.00970,1,985,-3,706,308,462,2,489,,,,,,,,
0,2,0,968,3,399,1,201,96,825,1,0.00970,1,986,-3,706,308,462,2,489,,,,,,,,
0,4,0,968,3,399,1,201,96,825,1,0.00970,1,986,-3,706,308,462,2,489,,,,,,,,
0,6,0,968,3,399,1,201,96,825,1,0.00970,1,986,-3,706,308,462,2,489,,,,,,,,
0,8,0,967,3,399,1,201,96,703,1,0.00970,1,985,-3,706,308,462,2,489,,,,,,,,
0,10,0,968,3,399,1,201,96,825,1,0.00970,1,986,-3,706,308,462,2,489,,,,,,,,
0,12,0,967,3,398,1,201,96,703,1,0.00970,1,985,-3,706,308,462,2,489,,,,,,,,
0,14,0,968,3,400,1,203,96,825,1,0.00970,1,986,-3,706,308,512,2,489,,,,,,,,
0,16,0,968,3,399,1,203,96,825,1,0.00970,1,986,-3,706,308,512,2,489,,,,,,,,
0,18,0,968,3,400,1,201,96,825,1,0.00970,1,986,-3,706,308,462,2,489,,,,,,,,
0,20,0,968,3,399,1,201,96,825,1,0.00970,1,986,-3,706,308,462,2,489,,,,,,,,
0,22,0,967,3,399,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,24,0,967,3,400,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,26,0,968,3,400,1,201,96,825,1,0.00970,1,986,-3,706,308,462,2,489,,,,,,,,
0,28,0,967,3,398,1,201,96,703,1,0.00970,1,985,-3,706,308,462,2,489,,,,,,,,
0,30,0,967,3,399,1,201,96,703,1,0.00970,1,985,-3,706,308,462,2,489,,,,,,,,
0,32,0,967,3,399,1,201,96,703,1,0.00970,1,985,-3,706,308,462,2,489,,,,,,,,
0,34,0,968,3,399,1,201,96,825,1,0.00970,1,986,-3,706,308,462,2,489,,,,,,,,
0,36,0,967,3,398,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,38,0,967,3,399,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,40,0,967,3,400,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,42,0,968,3,400,1,203,96,825,1,0.00970,1,986,-3,706,308,512,2,489,,,,,,,,
0,44,0,968,3,399,1,203,96,825,1,0.00970,1,986,-3,706,308,512,2,489,,,,,,,,
0,46,0,967,3,399,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,48,0,968,3,400,1,203,96,825,1,0.00970,1,986,-3,706,308,512,2,489,,,,,,,,
0,50,0,968,3,399,1,203,96,825,1,0.00970,1,986,-3,706,308,512,2,489,,,,,,,,
0,52,0,967,3,400,1,201,96,703,1,0.00970,1,985,-3,706,308,462,2,489,,,,,,,,
0,54,0,967,3,399,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,56,0,967,3,399,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,58,0,968,3,399,1,203,96,825,1,0.00970,1,986,-3,706,308,512,2,489,,,,,,,,
0,60,0,968,3,399,1,201,96,825,1,0.00970,1,986,-3,706,308,462,2,489,,,,,,,,
0,62,0,967,3,399,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,64,0,967,3,399,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,66,0,968,3,400,1,203,96,825,1,0.00970,1,986,-3,706,308,512,2,489,,,,,,,,
0,68,0,968,3,399,1,203,96,825,1,0.00970,1,986,-3,706,308,512,2,489,,,,,,,,
0,70,0,968,3,400,1,203,96,825,1,0.00970,1,986,-3,706,308,512,2,489,,,,,,,,
0,72,0,967,3,400,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,74,0,967,3,399,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,76,0,967,3,400,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,78,0,968,3,400,1,204,96,825,1,0.00970,1,986,-3,706,308,563,2,489,,,,,,,,
0,80,0,967,3,400,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,82,0,967,3,399,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,84,0,967,3,399,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,86,0,967,3,399,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,88,0,967,3,399,1,203,96,703,1,0.00970,1,985,-3,706,308,512,2,489,,,,,,,,
0,90,0,968,3,399,1,203,96,825,1,0.00970,1,986,-3,706,308,512,2,489,,,,,,,,
