Μετρήσεις Δ2 - Γεωργάκη,,,,,,,,
ΕΛΑΣΜΑΤΟΕΙΔΗΣ ΣΙΔΗΡΟΣ,,,,,ΣΥΜΠΑΓΗΣ ΣΙΔΗΡΟΣ,,,
I (A),B  (mT),H (A/m),μ (Ν/A^2),,I (A),B  (mT),H (Α/m),μ (Ν/Α^2)
0,1,0,,,0,-18.2,0,
0.17,170,850,,,0.21,58,1050,
0.35,350,1750,,,0.41,159,2050,
0.5,498,2500,,,0.53,229,2650,
0.64,633,3200,,,0.68,296,3400,
0.78,750,3900,,,0.81,344,4050,
0.94,865,4700,,,1.04,414,5200,0.079615385
1.02,918,5100,0.18,,1.27,470,6350,0.074015748
0.84,824,4200,0.196190476,,1.44,505,7200,0.070138889
0.66,681,3300,0.206363636,,1.52,522,7600,0.068684211
0.49,518,2450,0.211428571,,1.39,509,6950,0.07323741
0.34,371,1700,0.218235294,,1.23,490,6150,0.079674797
0.16,188,800,0.235,,1.15,478,5750,0.083130435
0,16,0,,,1.04,463,5200,0.089038462
-0.16,-149,-800,0.18625,,0.89,439,4450,0.098651685
-0.35,-346,-1750,0.197714286,,0.69,400,3450,0.115942029
-0.51,-503,-2550,0.197254902,,0.51,354,2550,0.138823529
-0.67,-650,-3350,0.194029851,,0.33,299,1650,0.181212121
-0.77,-728,-3850,0.189090909,,0.15,224,750,0.298666667
-0.91,-841,-4550,0.184835165,,0,125,0,
-1.01,-910,-5050,0.18019802,,-0.15,12,-750,-0.016
-0.92,-868,-4600,0.188695652,,-0.29,-83,-1450,0.057241379
-0.85,-827,-4250,0.194588235,,-0.43,-176,-2150,0.081860465
-0.68,-696,-3400,0.204705882,,-0.58,-254,-2900,0.087586207
-0.57,-597,-2850,0.209473684,,-0.78,-335,-3900,0.085897436
-0.4,-437,-2000,0.2185,,-0.93,-386,-4650,0.083010753
-0.14,-170,-700,0.242857143,,-1.11,-436,-5550,0.078558559
0,-14,0,,,-1.24,-465,-6200,0.075
0.14,132,700,0.188571429,,-1.4,-498,-7000,0.071142857
0.32,316,1600,0.1975,,-1.52,-520,-7600,0.068421053
0.48,469,2400,0.195416667,,-1.37,-505,-6850,0.073722628
0.66,641,3300,0.194242424,,-1.17,-480,-5850,0.082051282
0.74,710,3700,0.191891892,,-0.97,-451,-4850,0.092989691
0.83,786,4150,0.18939759,,-0.79,-420,-3950,0.106329114
0.96,882,4800,0.18375,,-0.59,-375,-2950,0.127118644
1.06,941,5300,0.17754717,,-0.31,-292,-1550,0.188387097
,,,,,-0.14,-216,-700,0.308571429
N (συνολικές σπείρες),L (m),,,,0,-129,0,
1200,0.24,,,,0.2,23,1000,0.023
,,,,,0.45,185,2250,0.082222222
,,,,,0.61,266,3050,0.087213115
,,,,,0.74,320,3700,0.086486486
,,,,,0.87,367,4350,0.084367816
,,,,,1.04,414,5200,0.079615385
,,,,,1.22,459,6100,0.075245902
,,,,,1.35,487,6750,0.072148148
,,,,,1.5,517,7500,0.068933333
